SKU Code,Brand Code,Category,Bill Number,Store Code,Sale Date,Sale/Return,MRP,Sales Price,Sales Qty
SKU0260,BRAND019,Cat01,BILL01380,Store 2,2017-07-21,Sale,44.0,44.0,1
SKU0574,BRAND011,Cat01,BILL01406,Store 2,2017-07-01,Sale,54.67,54.67,1
SKU0407,BRAND017,Cat01,BILL01407,Store 2,2017-07-01,Sale,113.33,113.33,1
SKU0176,BRAND002,Cat01,BILL01407,Store 2,2017-07-01,Sale,113.33,113.33,1
SKU0564,BRAND009,Cat01,BILL01407,Store 2,2017-07-01,Sale,100.0,100.0,1
SKU0011,BRAND001,Cat01,BILL01407,Store 2,2017-07-01,Sale,68.0,68.0,1
SKU0128,BRAND001,Cat01,BILL01408,Store 2,2017-07-01,Sale,44.0,44.0,1
SKU0463,BRAND013,Cat01,BILL01409,Store 2,2017-07-01,Sale,73.33,73.33,1
SKU0575,BRAND008,Cat01,BILL01410,Store 2,2017-07-01,Sale,37.2,37.2,1
SKU0267,BRAND005,Cat01,BILL01411,Store 2,2017-07-01,Sale,32.0,32.0,1
SKU0568,BRAND016,Cat03,BILL01412,Store 2,2017-07-01,Sale,5.47,5.47,1
SKU0081,BRAND001,Cat01,BILL01413,Store 2,2017-07-01,Sale,50.0,50.0,1
SKU0131,BRAND001,Cat01,BILL01414,Store 2,2017-07-01,Sale,66.67,66.67,1
SKU0012,BRAND008,Cat01,BILL01415,Store 2,2017-07-01,Sale,40.67,40.67,1
SKU0576,BRAND003,Cat01,BILL01416,Store 2,2017-07-01,Sale,80.0,80.0,1
SKU0494,BRAND007,Cat01,BILL01417,Store 2,2017-07-01,Sale,69.33,69.33,1
SKU0301,BRAND007,Cat01,BILL01418,Store 2,2017-07-02,Sale,65.33,65.33,1
SKU0231,BRAND003,Cat01,BILL01419,Store 2,2017-07-02,Sale,32.0,32.0,1
SKU0323,BRAND001,Cat01,BILL01420,Store 2,2017-07-02,Sale,56.67,56.67,1
SKU0345,BRAND018,Cat01,BILL01421,Store 2,2017-07-02,Sale,78.0,78.0,1
SKU0312,BRAND014,Cat01,BILL01421,Store 2,2017-07-02,Sale,76.0,76.0,1
SKU0323,BRAND001,Cat01,BILL01422,Store 2,2017-07-02,Sale,56.67,56.67,1
SKU0067,BRAND003,Cat01,BILL01423,Store 2,2017-07-02,Sale,61.33,61.33,1
SKU0189,BRAND008,Cat01,BILL01424,Store 2,2017-07-02,Sale,39.87,39.87,1
SKU0352,BRAND009,Cat01,BILL01425,Store 2,2017-07-02,Sale,52.0,52.0,1
SKU0222,BRAND008,Cat01,BILL01425,Store 2,2017-07-02,Sale,40.67,40.67,1
SKU0471,BRAND007,Cat01,BILL01426,Store 2,2017-07-02,Sale,50.67,50.67,1
SKU0576,BRAND003,Cat01,BILL01427,Store 2,2017-07-02,Sale,80.0,80.0,1
SKU0167,BRAND005,Cat01,BILL01428,Store 2,2017-07-03,Sale,32.0,32.0,1
SKU0323,BRAND001,Cat01,BILL01429,Store 2,2017-07-03,Sale,56.67,56.67,1
SKU0359,BRAND009,Cat01,BILL01430,Store 2,2017-07-03,Sale,52.0,52.0,1
SKU0577,BRAND025,Cat01,BILL01431,Store 2,2017-07-03,Sale,153.33,153.33,1
SKU0578,BRAND025,Cat01,BILL01431,Store 2,2017-07-03,Sale,85.33,85.33,1
SKU0564,BRAND009,Cat01,BILL01432,Store 2,2017-07-03,Sale,100.0,100.0,1
SKU0401,BRAND009,Cat01,BILL01433,Store 2,2017-07-03,Sale,57.33,57.33,1
SKU0280,BRAND005,Cat01,BILL01434,Store 2,2017-07-03,Sale,78.67,78.67,1
SKU0579,BRAND018,Cat01,BILL01435,Store 2,2017-07-04,Sale,54.0,54.0,1
SKU0102,BRAND011,Cat01,BILL01436,Store 2,2017-07-04,Sale,64.0,64.0,1
SKU0580,BRAND008,Cat01,BILL01437,Store 2,2017-07-04,Sale,40.67,40.67,1
SKU0315,BRAND003,Cat01,BILL01438,Store 2,2017-07-04,Sale,60.0,60.0,1
SKU0409,BRAND017,Cat01,BILL01439,Store 2,2017-07-04,Sale,78.67,78.67,1
SKU0581,BRAND011,Cat01,BILL01440,Store 2,2017-07-04,Sale,70.67,70.67,1
SKU0200,BRAND006,Cat01,BILL01441,Store 2,2017-07-04,Sale,90.67,90.67,1
SKU0438,BRAND001,Cat01,BILL01442,Store 2,2017-07-04,Sale,57.33,57.33,1
SKU0265,BRAND019,Cat01,BILL01443,Store 2,2017-07-04,Sale,34.67,34.67,1
SKU0027,BRAND001,Cat01,BILL01444,Store 2,2017-07-04,Sale,72.0,72.0,1
SKU0200,BRAND006,Cat01,BILL01445,Store 2,2017-07-04,Sale,90.67,90.67,1
SKU0144,BRAND014,Cat01,BILL01446,Store 2,2017-07-04,Sale,70.67,70.67,1
SKU0474,BRAND007,Cat01,BILL01447,Store 2,2017-07-05,Sale,65.33,65.33,1
SKU0229,BRAND003,Cat01,BILL01448,Store 2,2017-07-05,Sale,69.33,69.33,1
SKU0576,BRAND003,Cat01,BILL01449,Store 2,2017-07-05,Sale,80.0,80.0,1
SKU0219,BRAND011,Cat01,BILL01450,Store 2,2017-07-05,Sale,46.67,46.67,1
SKU0415,BRAND001,Cat01,BILL01451,Store 2,2017-07-05,Sale,79.33,79.33,1
SKU0171,BRAND002,Cat01,BILL01452,Store 2,2017-07-05,Sale,75.0,75.0,1
SKU0582,BRAND024,Cat01,BILL01453,Store 2,2017-07-05,Sale,40.0,40.0,1
SKU0080,BRAND005,Cat01,BILL01454,Store 2,2017-07-05,Sale,74.67,74.67,1
SKU0583,BRAND013,Cat01,BILL01455,Store 2,2017-07-05,Sale,60.0,60.0,1
SKU0571,BRAND007,Cat01,BILL01456,Store 2,2017-07-05,Sale,37.33,37.33,1
SKU0391,BRAND018,Cat01,BILL01457,Store 2,2017-07-05,Sale,55.33,55.33,1
SKU0571,BRAND007,Cat01,BILL01458,Store 2,2017-07-05,Sale,37.33,37.33,1
SKU0164,BRAND019,Cat01,BILL01459,Store 2,2017-07-05,Sale,44.0,44.0,1
SKU0120,BRAND011,Cat01,BILL01460,Store 2,2017-07-05,Sale,72.67,72.67,1
SKU0580,BRAND008,Cat01,BILL01461,Store 2,2017-07-05,Sale,40.67,40.67,1
SKU0230,BRAND017,Cat01,BILL01462,Store 2,2017-07-06,Sale,105.33,105.33,1
SKU0382,BRAND017,Cat01,BILL01462,Store 2,2017-07-06,Sale,76.67,76.67,1
SKU0473,BRAND002,Cat01,BILL01463,Store 2,2017-07-06,Sale,95.67,95.67,1
SKU0164,BRAND019,Cat01,BILL01464,Store 2,2017-07-06,Sale,44.0,44.0,1
SKU0219,BRAND011,Cat01,BILL01465,Store 2,2017-07-06,Sale,46.67,46.67,1
SKU0377,BRAND003,Cat01,BILL01466,Store 2,2017-07-06,Sale,80.0,80.0,1
SKU0080,BRAND005,Cat01,BILL01467,Store 2,2017-07-06,Sale,74.67,74.67,1
SKU0581,BRAND011,Cat01,BILL01468,Store 2,2017-07-06,Sale,70.67,70.67,1
SKU0584,BRAND011,Cat01,BILL01468,Store 2,2017-07-06,Sale,54.67,54.67,1
SKU0120,BRAND011,Cat01,BILL01469,Store 2,2017-07-06,Sale,72.67,72.67,1
SKU0251,BRAND011,Cat01,BILL01470,Store 2,2017-07-06,Sale,64.0,64.0,1
SKU0323,BRAND001,Cat01,BILL01471,Store 2,2017-07-07,Sale,56.67,56.67,1
SKU0357,BRAND002,Cat01,BILL01472,Store 2,2017-07-07,Sale,102.33,102.33,1
SKU0559,BRAND024,Cat01,BILL01473,Store 2,2017-07-07,Sale,76.67,76.67,1
SKU0012,BRAND008,Cat01,BILL01474,Store 2,2017-07-07,Sale,40.67,40.67,1
SKU0313,BRAND002,Cat01,BILL01475,Store 2,2017-07-07,Sale,132.33,132.33,1
SKU0207,BRAND006,Cat01,BILL01476,Store 2,2017-07-07,Sale,72.0,72.0,1
SKU0268,BRAND001,Cat01,BILL01477,Store 2,2017-07-07,Sale,50.0,50.0,1
SKU0475,BRAND006,Cat01,BILL01478,Store 2,2017-07-07,Sale,81.33,81.33,1
SKU0334,BRAND014,Cat01,BILL01479,Store 2,2017-07-08,Sale,65.33,65.33,1
