SKU Code,Brand Code,Category,Bill Number,Store Code,Sale Date,Sale/Return,MRP,Sales Price,Sales Qty
SKU0001,BRAND001,Cat01,BILL00001,Store 2,2017-06-23,Sale,92.0,92.0,1
SKU0002,BRAND002,Cat01,BILL00002,Store 2,2017-03-01,Sale,68.0,68.0,1
SKU0003,BRAND002,Cat01,BILL00003,Store 2,2017-03-01,Sale,80.67,80.67,1
SKU0004,BRAND003,Cat01,BILL00004,Store 2,2017-03-01,Sale,113.33,113.33,1
SKU0002,BRAND002,Cat01,BILL00005,Store 2,2017-03-01,Sale,68.0,68.0,1
SKU0005,BRAND004,Cat01,BILL00006,Store 2,2017-03-01,Sale,80.0,80.0,1
SKU0006,BRAND003,Cat01,BILL00006,Store 2,2017-03-01,Sale,80.0,80.0,1
SKU0007,BRAND005,Cat01,BILL00007,Store 2,2017-03-01,Sale,77.33,77.33,1
SKU0008,BRAND006,Cat01,BILL00008,Store 2,2017-03-01,Sale,72.0,72.0,1
SKU0009,BRAND007,Cat01,BILL00008,Store 2,2017-03-01,Sale,49.33,49.33,1
SKU0010,BRAND003,Cat01,BILL00009,Store 2,2017-03-01,Sale,74.67,74.67,1
SKU0011,BRAND001,Cat01,BILL00009,Store 2,2017-03-01,Sale,68.0,68.0,1
SKU0012,BRAND008,Cat01,BILL00010,Store 2,2017-03-01,Sale,40.67,40.67,1
SKU0013,BRAND003,Cat01,BILL00011,Store 2,2017-03-01,Sale,86.67,86.67,1
SKU0014,BRAND009,Cat01,BILL00012,Store 2,2017-03-01,Sale,67.33,67.33,1
SKU0015,BRAND010,Cat02,BILL00013,Store 2,2017-03-01,Sale,17.27,17.27,1
SKU0016,BRAND010,Cat02,BILL00013,Store 2,2017-03-01,Sale,11.67,11.67,1
SKU0009,BRAND007,Cat01,BILL00014,Store 2,2017-03-02,Sale,49.33,49.33,1
SKU0017,BRAND005,Cat01,BILL00015,Store 2,2017-03-02,Sale,69.33,69.33,1
SKU0018,BRAND007,Cat01,BILL00015,Store 2,2017-03-02,Sale,62.67,62.67,1
SKU0019,BRAND010,Cat02,BILL00016,Store 2,2017-03-02,Sale,23.33,23.33,1
SKU0020,BRAND007,Cat01,BILL00017,Store 2,2017-03-02,Sale,49.33,49.33,1
SKU0021,BRAND010,Cat02,BILL00018,Store 2,2017-03-02,Sale,13.0,13.0,1
SKU0018,BRAND007,Cat01,BILL00019,Store 2,2017-03-02,Sale,62.67,62.67,1
SKU0022,BRAND010,Cat02,BILL00019,Store 2,2017-03-02,Sale,8.33,8.33,1
SKU0023,BRAND010,Cat02,BILL00019,Store 2,2017-03-02,Sale,6.33,6.33,1
SKU0024,BRAND010,Cat02,BILL00019,Store 2,2017-03-02,Sale,6.33,6.33,1
SKU0025,BRAND007,Cat01,BILL00020,Store 2,2017-03-02,Sale,65.33,65.33,1
SKU0026,BRAND001,Cat01,BILL00021,Store 2,2017-03-02,Sale,96.0,96.0,1
SKU0027,BRAND001,Cat01,BILL00021,Store 2,2017-03-02,Sale,72.0,72.0,1
SKU0011,BRAND001,Cat01,BILL00021,Store 2,2017-03-02,Sale,68.0,68.0,1
SKU0028,BRAND003,Cat01,BILL00022,Store 2,2017-03-02,Sale,77.33,77.33,1
SKU0029,BRAND007,Cat01,BILL00023,Store 2,2017-03-02,Sale,65.33,65.33,1
SKU0030,BRAND007,Cat01,BILL00024,Store 2,2017-03-02,Sale,65.33,65.33,1
SKU0031,BRAND007,Cat01,BILL00025,Store 2,2017-03-02,Sale,58.67,58.67,1
SKU0032,BRAND001,Cat01,BILL00026,Store 2,2017-03-02,Sale,111.33,111.33,1
SKU0033,BRAND003,Cat01,BILL00027,Store 2,2017-03-02,Sale,82.67,82.67,1
SKU0034,BRAND011,Cat01,BILL00028,Store 2,2017-03-02,Sale,37.33,37.33,1
SKU0035,BRAND004,Cat01,BILL00029,Store 2,2017-03-02,Sale,86.67,86.67,1
SKU0036,BRAND012,Cat01,BILL00030,Store 2,2017-03-02,Sale,23.33,23.33,1
SKU0037,BRAND011,Cat01,BILL00031,Store 2,2017-03-02,Sale,65.33,65.33,1
SKU0038,BRAND011,Cat01,BILL00031,Store 2,2017-03-02,Sale,65.33,65.33,1
SKU0039,BRAND006,Cat01,BILL00032,Store 2,2017-03-02,Sale,32.0,32.0,1
SKU0040,BRAND013,Cat01,BILL00032,Store 2,2017-03-02,Sale,24.0,24.0,1
SKU0041,BRAND002,Cat01,BILL00033,Store 2,2017-03-03,Sale,66.0,66.0,1
SKU0042,BRAND008,Cat01,BILL00033,Store 2,2017-03-03,Sale,40.67,40.67,1
SKU0043,BRAND001,Cat01,BILL00034,Store 2,2017-03-03,Sale,56.67,56.67,1
SKU0044,BRAND002,Cat01,BILL00035,Store 2,2017-03-03,Sale,29.67,29.67,1
SKU0045,BRAND007,Cat01,BILL00036,Store 2,2017-03-03,Sale,49.33,49.33,1
SKU0046,BRAND006,Cat01,BILL00037,Store 2,2017-03-03,Sale,84.0,84.0,1
SKU0047,BRAND011,Cat01,BILL00038,Store 2,2017-03-03,Sale,26.0,26.0,1
SKU0047,BRAND011,Cat01,BILL00038,Store 2,2017-03-03,Sale,26.0,26.0,1
SKU0048,BRAND014,Cat01,BILL00039,Store 2,2017-03-03,Sale,72.0,72.0,1
SKU0049,BRAND008,Cat01,BILL00039,Store 2,2017-03-03,Sale,39.87,39.87,1
SKU0049,BRAND008,Cat01,BILL00039,Store 2,2017-03-03,Sale,39.87,39.87,1
SKU0049,BRAND008,Cat01,BILL00040,Store 2,2017-03-03,Sale,39.87,39.87,1
SKU0007,BRAND005,Cat01,BILL00041,Store 2,2017-03-03,Sale,77.33,77.33,1
SKU0017,BRAND005,Cat01,BILL00041,Store 2,2017-03-03,Sale,69.33,69.33,1
SKU0050,BRAND005,Cat01,BILL00041,Store 2,2017-03-03,Sale,62.67,62.67,1
SKU0037,BRAND011,Cat01,BILL00042,Store 2,2017-03-03,Sale,65.33,65.33,1
SKU0051,BRAND003,Cat01,BILL00043,Store 2,2017-03-04,Sale,32.0,32.0,1
SKU0052,BRAND006,Cat01,BILL00043,Store 2,2017-03-04,Sale,32.0,32.0,1
SKU0053,BRAND005,Cat01,BILL00044,Store 2,2017-03-04,Sale,106.67,106.67,1
SKU0054,BRAND001,Cat01,BILL00045,Store 2,2017-03-04,Sale,80.0,80.0,1
SKU0055,BRAND011,Cat01,BILL00046,Store 2,2017-03-04,Sale,44.0,44.0,1
