SKU Code,Brand Code,Category,Bill Number,Store Code,Sale Date,Sale/Return,MRP,Sales Price,Sales Qty
SKU2218,BRAND051,Cat08,BILL08261,Store 4,2017-08-23,Sale,8.0,8.0,1
SKU0732,BRAND027,Cat04,BILL08262,Store 4,2017-08-24,Return,4.0,4.0,-1
SKU2219,BRAND052,Cat04,BILL08263,Store 4,2017-08-24,Sale,8.65,8.65,1
SKU2220,BRAND053,Cat07,BILL08264,Store 4,2017-09-17,Sale,8.67,8.67,1
SKU2221,BRAND023,Cat07,BILL08265,Store 4,2017-09-17,Sale,4.67,4.67,1
SKU2222,BRAND010,Cat02,BILL08266,Store 4,2017-09-17,Sale,56.0,56.0,1
SKU2223,BRAND054,Cat08,BILL08267,Store 4,2017-09-17,Sale,4.53,4.53,1
SKU2224,BRAND053,Cat07,BILL08268,Store 4,2017-09-17,Sale,2.47,2.47,1
SKU2225,BRAND055,Cat07,BILL08269,Store 4,2017-09-17,Sale,38.65,38.65,1
SKU2226,BRAND056,Cat07,BILL08269,Store 4,2017-09-17,Sale,14.0,14.0,1
SKU2227,BRAND056,Cat07,BILL08269,Store 4,2017-09-17,Sale,14.0,14.0,1
SKU2228,BRAND057,Cat07,BILL08269,Store 4,2017-09-17,Sale,6.67,6.67,1
SKU2229,BRAND058,Cat02,BILL08269,Store 4,2017-09-17,Sale,5.47,5.47,1
SKU2230,BRAND058,Cat02,BILL08269,Store 4,2017-09-17,Sale,5.07,5.07,1
SKU2231,BRAND059,Cat04,BILL08270,Store 4,2017-09-17,Sale,5.32,5.32,1
SKU2232,BRAND023,Cat07,BILL08270,Store 4,2017-09-17,Sale,4.67,4.67,1
SKU2233,BRAND060,Cat07,BILL08271,Store 4,2017-08-29,Sale,11.33,11.33,1
SKU2234,BRAND061,Cat07,BILL08272,Store 4,2017-09-17,Sale,7.33,7.33,1
SKU2235,BRAND062,Cat07,BILL08272,Store 4,2017-09-17,Sale,6.6,6.6,1
SKU2236,BRAND053,Cat07,BILL08273,Store 4,2017-09-17,Sale,8.0,8.0,1
SKU0645,BRAND027,Cat04,BILL08273,Store 4,2017-09-17,Sale,2.0,2.0,1
SKU0651,BRAND027,Cat04,BILL08273,Store 4,2017-09-17,Sale,1.33,1.33,1
SKU0639,BRAND027,Cat04,BILL08273,Store 4,2017-09-17,Sale,1.33,1.33,1
SKU0633,BRAND027,Cat04,BILL08273,Store 4,2017-09-17,Sale,1.33,1.33,1
SKU0653,BRAND027,Cat04,BILL08273,Store 4,2017-09-17,Sale,1.33,1.33,1
SKU2237,BRAND053,Cat07,BILL08274,Store 4,2017-09-18,Sale,5.2,5.2,1
SKU0756,BRAND033,Cat07,BILL08275,Store 4,2017-09-18,Sale,7.93,7.93,1
SKU0702,BRAND027,Cat04,BILL08275,Store 4,2017-09-18,Sale,4.0,4.0,1
SKU0877,BRAND027,Cat04,BILL08275,Store 4,2017-09-18,Sale,4.0,4.0,1
SKU0665,BRAND027,Cat04,BILL08275,Store 4,2017-09-18,Sale,2.0,2.0,1
SKU0664,BRAND027,Cat04,BILL08275,Store 4,2017-09-18,Sale,2.0,2.0,1
SKU0629,BRAND027,Cat04,BILL08275,Store 4,2017-09-18,Sale,2.0,2.0,1
SKU0628,BRAND027,Cat04,BILL08275,Store 4,2017-09-18,Sale,2.0,2.0,1
SKU2238,BRAND061,Cat07,BILL08276,Store 4,2017-09-18,Sale,8.0,8.0,1
SKU2239,BRAND063,Cat11,BILL08276,Store 4,2017-09-18,Sale,6.33,6.33,1
SKU2240,BRAND023,Cat07,BILL08277,Store 4,2017-09-18,Sale,4.33,4.33,1
SKU2241,BRAND064,Cat04,BILL08278,Store 4,2017-08-29,Sale,11.32,11.32,1
SKU2242,BRAND065,Cat07,BILL08279,Store 4,2017-09-18,Sale,4.33,4.33,1
SKU0715,BRAND027,Cat04,BILL08280,Store 4,2017-09-18,Sale,7.87,7.87,1
SKU2243,BRAND062,Cat04,BILL08280,Store 4,2017-09-18,Sale,6.33,6.33,1
SKU0699,BRAND027,Cat04,BILL08280,Store 4,2017-09-18,Sale,4.0,4.0,1
SKU0664,BRAND027,Cat04,BILL08281,Store 4,2017-09-18,Sale,2.0,2.0,1
SKU0629,BRAND027,Cat04,BILL08281,Store 4,2017-09-18,Sale,2.0,2.0,1
SKU0648,BRAND027,Cat04,BILL08281,Store 4,2017-09-18,Sale,1.33,1.33,1
SKU0667,BRAND027,Cat04,BILL08281,Store 4,2017-09-18,Sale,1.33,1.33,1
SKU2244,BRAND010,Cat02,BILL08282,Store 4,2017-09-18,Sale,25.0,25.0,1
SKU2245,BRAND057,Cat07,BILL08283,Store 4,2017-09-18,Sale,6.67,6.67,1
SKU2246,BRAND066,Cat03,BILL08284,Store 4,2017-09-18,Sale,4.13,4.13,1
SKU0644,BRAND027,Cat04,BILL08284,Store 4,2017-09-18,Sale,2.0,2.0,1
SKU0630,BRAND027,Cat04,BILL08284,Store 4,2017-09-18,Sale,1.33,1.33,1
SKU0653,BRAND027,Cat04,BILL08284,Store 4,2017-09-18,Sale,1.33,1.33,1
SKU2247,BRAND023,Cat07,BILL08285,Store 4,2017-08-29,Sale,8.0,8.0,1
SKU2248,BRAND067,Cat08,BILL08286,Store 4,2017-09-18,Sale,5.76,5.76,1
SKU1842,BRAND027,Cat04,BILL08286,Store 4,2017-09-18,Sale,4.0,4.0,1
SKU2235,BRAND062,Cat07,BILL08287,Store 4,2017-09-18,Sale,6.6,6.6,1
SKU2249,BRAND068,Cat08,BILL08288,Store 4,2017-09-18,Sale,18.0,18.0,1
SKU2250,BRAND052,Cat04,BILL08288,Store 4,2017-09-18,Sale,10.65,10.65,1
SKU2243,BRAND062,Cat04,BILL08288,Store 4,2017-09-18,Sale,6.33,6.33,1
SKU2251,BRAND069,Cat03,BILL08288,Store 4,2017-09-18,Sale,4.67,4.67,1
SKU2252,BRAND053,Cat07,BILL08289,Store 4,2017-09-18,Sale,5.67,5.67,1
SKU2235,BRAND062,Cat07,BILL08290,Store 4,2017-09-18,Sale,6.6,6.6,1
SKU2253,BRAND070,Cat07,BILL08291,Store 4,2017-09-19,Sale,7.99,7.99,1
SKU2254,BRAND023,Cat07,BILL08292,Store 4,2017-09-19,Sale,4.33,4.33,1
SKU2240,BRAND023,Cat07,BILL08292,Store 4,2017-09-19,Sale,4.33,4.33,1
SKU2255,BRAND023,Cat07,BILL08292,Store 4,2017-09-19,Sale,4.33,4.33,1
SKU2256,BRAND071,Cat07,BILL08293,Store 4,2017-09-19,Sale,22.65,22.65,1
SKU2257,BRAND023,Cat07,BILL08294,Store 4,2017-09-19,Sale,6.65,6.65,1
SKU2258,BRAND072,Cat08,BILL08295,Store 4,2017-09-19,Sale,10.0,10.0,1
SKU0627,BRAND027,Cat04,BILL08296,Store 4,2017-09-19,Sale,1.33,1.33,1
SKU2259,BRAND060,Cat07,BILL08297,Store 4,2017-09-19,Sale,26.67,26.67,1
SKU0761,BRAND033,Cat07,BILL08297,Store 4,2017-09-19,Sale,7.93,7.93,1
SKU2260,BRAND053,Cat07,BILL08298,Store 4,2017-09-19,Sale,7.67,7.67,1
SKU2261,BRAND023,Cat07,BILL08299,Store 4,2017-09-19,Sale,6.0,6.0,1
SKU2224,BRAND053,Cat07,BILL08300,Store 4,2017-09-19,Sale,2.47,2.47,1
SKU2262,BRAND069,Cat03,BILL08301,Store 4,2017-09-19,Sale,4.33,4.33,1
SKU2235,BRAND062,Cat07,BILL08302,Store 4,2017-09-19,Sale,6.6,6.6,1
SKU2263,BRAND064,Cat04,BILL08303,Store 4,2017-09-19,Sale,15.87,15.87,1
SKU2264,BRAND023,Cat07,BILL08303,Store 4,2017-09-19,Sale,5.0,5.0,1
SKU2246,BRAND066,Cat03,BILL08304,Store 4,2017-08-29,Sale,4.13,4.13,1
SKU2265,BRAND073,Cat02,BILL08304,Store 4,2017-08-29,Sale,4.0,4.0,1
SKU2266,BRAND074,Cat08,BILL08305,Store 4,2017-09-20,Sale,43.99,43.99,1
SKU0387,BRAND010,Cat02,BILL08306,Store 4,2017-09-20,Sale,16.67,16.67,1
SKU2267,BRAND075,Cat08,BILL08307,Store 4,2017-09-20,Sale,6.65,6.65,1
SKU0701,BRAND027,Cat04,BILL08308,Store 4,2017-09-20,Sale,4.0,4.0,1
SKU0669,BRAND027,Cat04,BILL08308,Store 4,2017-09-20,Sale,1.33,1.33,1
SKU0654,BRAND027,Cat04,BILL08308,Store 4,2017-09-20,Sale,1.33,1.33,1
SKU2268,BRAND075,Cat08,BILL08309,Store 4,2017-09-20,Sale,6.65,6.65,1
SKU2269,BRAND076,Cat07,BILL08310,Store 4,2017-09-20,Sale,5.27,5.27,1
SKU2270,BRAND077,Cat08,BILL08311,Store 4,2017-09-20,Sale,8.4,8.4,1
SKU2224,BRAND053,Cat07,BILL08311,Store 4,2017-09-20,Sale,2.47,2.47,1
SKU0654,BRAND027,Cat04,BILL08311,Store 4,2017-09-20,Sale,1.33,1.33,1
